GO,Term_Name_Clean,P-value,Z-score,Combined_Score
GO:0006468,Protein Phosphorylation,2.1961071109917382e-120,10.371110623032433,2857.484955584686
GO:0016310,Phosphorylation,2.0237499551749802e-88,8.128997902210747,1641.4278713873707
GO:0045893,Positive Regulation Of DNA-templated Transcription,1.1498437858631163e-78,3.041530226391003,545.8391314283099
GO:1903508,Positive Regulation Of Nucleic Acid-Templated Transcription,8.127226188560845e-68,4.633814605566018,715.834305974725
GO:0036211,Protein Modification Process,2.92700651314007e-63,3.6705534570537033,528.5188835580462
GO:0006412,Translation,3.3598686473239083e-59,10.922696330732194,1470.6385908206878
GO:0046777,Protein Autophosphorylation,4.6396017203502825e-57,24.13796052076935,3131.0005572280947
GO:0018105,Peptidyl-Serine Phosphorylation,1.3678722464700276e-52,20.055341780071952,2395.032348196651
GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II,1.90755286894289e-52,2.798103341885616,333.2222198131106
GO:0018209,Peptidyl-Serine Modification,2.325346364141621e-44,11.852378420641124,1190.8069794408675
GO:0006355,Regulation Of DNA-templated Transcription,3.095402620566737e-39,1.8989364769460164,168.3804076721255
GO:0010467,Gene Expression,1.0007397839280711e-37,4.682715812024499,398.9435471521693
GO:0032543,Mitochondrial Translation,3.81607999503781e-36,27.14367726920093,2213.6711030177803
GO:0009059,Macromolecule Biosynthetic Process,6.891929872353906e-36,7.270787399772653,588.6626677471425
GO:0006974,DNA Damage Response,2.8240470823350096e-35,3.648643714224856,290.2580258475382
GO:0006357,Regulation Of Transcription By RNA Polymerase II,8.685680869500556e-35,1.8023416598168136,141.35549800706497
GO:0043043,Peptide Biosynthetic Process,3.5828455764350396e-34,8.250936037441498,635.4189064108945
GO:0140053,Mitochondrial Gene Expression,3.80559401508202e-33,17.46058348851645,1303.412232867813
GO:0006338,Chromatin Remodeling,5.423814022651592e-32,5.049849575651156,363.54838541552647
GO:0042127,Regulation Of Cell Population Proliferation,5.67797839650995e-32,2.3976580576164634,172.502212848244
GO:0042981,Regulation Of Apoptotic Process,6.670604301553446e-32,2.4807426531326007,178.08014241415276
GO:0006281,DNA Repair,1.2745669677347655e-31,4.085750315258512,290.6501913240077
GO:0002181,Cytoplasmic Translation,3.2869659569021028e-31,19.463732176069435,1366.1627275949756
GO:0006282,Regulation Of DNA Repair,3.9779134742055086e-30,9.143212564142434,618.9661898941837
GO:0006259,DNA Metabolic Process,4.38782243098897e-30,3.957832388153749,267.5444022864868
GO:0010628,Positive Regulation Of Gene Expression,1.1495224863399397e-29,2.865814696485623,190.96534217171927
GO:0048522,Positive Regulation Of Cellular Process,2.74687793781087e-29,2.5667226691581493,168.79923997126454
GO:0010468,Regulation Of Gene Expression,4.0844018709220393e-29,2.0058946519888154,131.1209051876012
GO:0008284,Positive Regulation Of Cell Population Proliferation,1.3134346323962663e-28,2.799227206270809,179.7096505603186
GO:0015986,Proton Motive Force-Driven ATP Synthesis,7.516883900487425e-28,122.63656013586537,7659.294683339608
GO:0051726,Regulation Of Cell Cycle,9.28841905306711e-27,3.5431713017159545,212.3813342788039
GO:0042776,Proton Motive Force-Driven Mitochondrial ATP Synthesis,1.5644332371584622e-26,713592.0,42401414.57603911
GO:0010604,Positive Regulation Of Macromolecule Metabolic Process,1.9319927983151422e-26,3.111003097235096,184.1983259175372
GO:0042775,Mitochondrial ATP Synthesis Coupled Electron Transport,3.8082967633346005e-26,27.03863390511513,1582.572063694718
